2025-01-15 15:06:42.919944: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-01-15 15:06:42.936232: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1736950002.956966  175611 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1736950002.963099  175611 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-01-15 15:06:42.983228: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
W0000 00:00:1736950005.798626  175611 gpu_device.cc:2344] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
WARNING:2025-01-15 15:06:46,315:jax._src.xla_bridge:969: An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
Loaded trainable_model_2025_01_15_14_55_53.json
Epoch 195, Loss: 72.7981185913086, Correct predictions: 89, Correct predictions test: 6
Epoch 200, Loss: 70.1285171508789, Correct predictions: 70, Correct predictions test: 8
Epoch 205, Loss: 70.8371810913086, Correct predictions: 101, Correct predictions test: 2
Epoch 210, Loss: 65.64913177490234, Correct predictions: 59, Correct predictions test: 10
Epoch 215, Loss: 62.944915771484375, Correct predictions: 102, Correct predictions test: 6
Epoch 220, Loss: 60.393104553222656, Correct predictions: 90, Correct predictions test: 9
Epoch 225, Loss: 58.10518264770508, Correct predictions: 98, Correct predictions test: 7
Epoch 230, Loss: 60.072792053222656, Correct predictions: 75, Correct predictions test: 3
Epoch 235, Loss: 54.06232833862305, Correct predictions: 114, Correct predictions test: 9
Epoch 240, Loss: 52.12480545043945, Correct predictions: 96, Correct predictions test: 9
Epoch 245, Loss: 50.438114166259766, Correct predictions: 124, Correct predictions test: 9
Epoch 250, Loss: 50.49759292602539, Correct predictions: 95, Correct predictions test: 8
Epoch 255, Loss: 49.28974533081055, Correct predictions: 98, Correct predictions test: 3
Epoch 260, Loss: 46.254600524902344, Correct predictions: 123, Correct predictions test: 6
Epoch 265, Loss: 46.86099624633789, Correct predictions: 83, Correct predictions test: 3
Epoch 270, Loss: 43.12241744995117, Correct predictions: 131, Correct predictions test: 8
Epoch 275, Loss: 41.11803436279297, Correct predictions: 130, Correct predictions test: 10
Epoch 280, Loss: 40.419464111328125, Correct predictions: 133, Correct predictions test: 12
Epoch 285, Loss: 38.18324661254883, Correct predictions: 124, Correct predictions test: 8
Epoch 290, Loss: 37.49441146850586, Correct predictions: 175, Correct predictions test: 11
Epoch 295, Loss: 35.452152252197266, Correct predictions: 127, Correct predictions test: 11
Epoch 300, Loss: 35.72057342529297, Correct predictions: 152, Correct predictions test: 13
Epoch 305, Loss: 34.81616973876953, Correct predictions: 149, Correct predictions test: 11
Epoch 310, Loss: 32.28327560424805, Correct predictions: 173, Correct predictions test: 12
Epoch 315, Loss: 31.17292022705078, Correct predictions: 212, Correct predictions test: 11
Epoch 320, Loss: 32.872615814208984, Correct predictions: 155, Correct predictions test: 11
Epoch 325, Loss: 30.108917236328125, Correct predictions: 255, Correct predictions test: 13
Epoch 330, Loss: 28.98757553100586, Correct predictions: 167, Correct predictions test: 8
