checkpoint_name,training_step,population,measure,pearson_r,pearson_p
trained_model_checkpoint_610.pkl,610,Kids_II,ER,0.2439805607158385,0.016596919783007
trained_model_checkpoint_620.pkl,620,Kids_II,ER,0.2458402979250489,0.0157630232874029
trained_model_checkpoint_630.pkl,630,Kids_II,ER,0.2454207663019897,0.01594790295249
trained_model_checkpoint_640.pkl,640,Kids_II,ER,0.2450035970049694,0.0161335986987906
trained_model_checkpoint_650.pkl,650,Kids_II,ER,0.2592437970032907,0.0107552911151478
trained_model_checkpoint_660.pkl,660,Kids_II,ER,0.2427511496166318,0.0171688759207921
trained_model_checkpoint_670.pkl,670,Kids_II,ER,0.2439934221391194,0.016591024387593
trained_model_checkpoint_680.pkl,680,Kids_II,ER,0.2453439105082252,0.015981974382226
trained_model_checkpoint_690.pkl,690,Kids_II,ER,0.2438424722439434,0.0166603306504061
trained_model_checkpoint_700.pkl,700,Kids_II,ER,0.2573371793253356,0.0113695152516898
trained_model_checkpoint_710.pkl,710,Kids_II,ER,0.2591925742961016,0.0107714054095865
trained_model_checkpoint_720.pkl,720,Kids_II,ER,0.2434647349906594,0.0168348598133096
trained_model_checkpoint_730.pkl,730,Kids_II,ER,0.247814351947942,0.0149177808050331
trained_model_checkpoint_740.pkl,740,Kids_II,ER,0.263664039587818,0.009441748543129
trained_model_checkpoint_750.pkl,750,Kids_II,ER,0.2683881310439705,0.0081955933206436
trained_model_checkpoint_760.pkl,760,Kids_II,ER,0.2647680938664661,0.0091365054745256
trained_model_checkpoint_770.pkl,770,Kids_II,ER,0.2573378759196497,0.0113692853599721
trained_model_checkpoint_780.pkl,780,Kids_II,ER,0.2468402917843487,0.0153298080501751
trained_model_checkpoint_790.pkl,790,Kids_II,ER,0.2421769551445917,0.0174417839391515
trained_model_checkpoint_800.pkl,800,Kids_II,ER,0.2525207290283816,0.0130594389181982
trained_model_checkpoint_400.pkl,400,Adults,RT,0.6954333610845711,3.77158240768167e-15
trained_model_checkpoint_410.pkl,410,Adults,RT,0.712737198020217,3.798471938815241e-16
trained_model_checkpoint_420.pkl,420,Adults,RT,0.7046726221839632,1.1302135868417889e-15
trained_model_checkpoint_430.pkl,430,Adults,RT,0.7189947047651382,1.58799549822655e-16
trained_model_checkpoint_440.pkl,440,Adults,RT,0.709174574379215,6.177138199485584e-16
