checkpoint_name,training_step,population,measure,epsilon,pearson_r,pearson_p
trained_model_checkpoint_560.pkl,560,Kids_II,ER,7.0,0.2693122800755502,0.0079695096674879
trained_model_checkpoint_570.pkl,570,Kids_II,ER,7.0,0.2705669921297505,0.007671359366119
trained_model_checkpoint_580.pkl,580,Kids_II,ER,6.5,0.3006087034910923,0.0029210782272225
trained_model_checkpoint_590.pkl,590,Kids_II,ER,6.5,0.300847227648146,0.0028975719688322
trained_model_checkpoint_600.pkl,600,Kids_II,ER,6.5,0.300847227648146,0.0028975719688322
trained_model_checkpoint_610.pkl,610,Kids_II,ER,6.5,0.3006087034910923,0.0029210782272225
trained_model_checkpoint_620.pkl,620,Kids_II,ER,7.0,0.302352017716773,0.0027531529010564
trained_model_checkpoint_630.pkl,630,Kids_II,ER,7.0,0.2846860870706273,0.0049353585941106
trained_model_checkpoint_640.pkl,640,Kids_II,ER,4.0,0.3014759544080211,0.002836423618732
trained_model_checkpoint_650.pkl,650,Kids_II,ER,7.0,0.3197069954835193,0.0014972632691676
trained_model_checkpoint_660.pkl,660,Kids_II,ER,4.5,0.3037824169083143,0.0026219052948894
trained_model_checkpoint_670.pkl,670,Kids_II,ER,4.5,0.3037824169083143,0.0026219052948894
trained_model_checkpoint_680.pkl,680,Kids_II,ER,4.5,0.3037824169083143,0.0026219052948894
trained_model_checkpoint_690.pkl,690,Kids_II,ER,7.0,0.2818800905591901,0.0053970581014655
trained_model_checkpoint_700.pkl,700,Kids_II,ER,7.0,0.3005039644020548,0.0029314541275931
trained_model_checkpoint_710.pkl,710,Kids_II,ER,7.0,0.3010174176183076,0.0028809039504491
trained_model_checkpoint_720.pkl,720,Kids_II,ER,2.5,0.2862163318919897,0.0046986773344545
trained_model_checkpoint_730.pkl,730,Kids_II,ER,7.0,0.2819477679979131,0.0053854857951987
trained_model_checkpoint_740.pkl,740,Kids_II,ER,2.5,0.3937229700484536,7.22681523602248e-05
trained_model_checkpoint_750.pkl,750,Kids_II,ER,2.5,0.3937229700484536,7.22681523602248e-05
trained_model_checkpoint_760.pkl,760,Kids_II,ER,2.5,0.3937229700484536,7.22681523602248e-05
trained_model_checkpoint_770.pkl,770,Kids_II,ER,2.5,0.3676714093613052,0.0002285246998828
trained_model_checkpoint_780.pkl,780,Kids_II,ER,8.5,0.2930407756913872,0.0037616872267505
trained_model_checkpoint_790.pkl,790,Kids_II,ER,9.0,0.2652578303519098,0.0090039040837614
trained_model_checkpoint_800.pkl,800,Kids_II,ER,7.0,0.341132526718863,0.0006707932938632
trained_model_checkpoint_400.pkl,400,Adults,RT,3.5,0.7210351463827266,1.1888432639496451e-16
trained_model_checkpoint_410.pkl,410,Adults,RT,3.5,0.7210351463827266,1.1888432639496451e-16
trained_model_checkpoint_420.pkl,420,Adults,RT,3.0,0.7061758453727474,9.249146094153523e-16
trained_model_checkpoint_430.pkl,430,Adults,RT,3.5,0.7296973253087141,3.378722262614039e-17
trained_model_checkpoint_440.pkl,440,Adults,RT,4.0,0.7216112445512823,1.0950296358098304e-16
trained_model_checkpoint_450.pkl,450,Adults,RT,3.5,0.7002722845727928,2.017919461110915e-15
trained_model_checkpoint_460.pkl,460,Adults,RT,4.0,0.7441953005691461,3.6781724781034505e-18
trained_model_checkpoint_470.pkl,470,Adults,RT,4.0,0.7319022634799094,2.433920788104605e-17
trained_model_checkpoint_480.pkl,480,Adults,RT,4.0,0.6994832437948214,2.2364699437768047e-15
trained_model_checkpoint_490.pkl,490,Adults,RT,4.0,0.7109983246591896,4.820363861631949e-16
trained_model_checkpoint_500.pkl,500,Adults,RT,4.0,0.7109983246591896,4.820363861631949e-16
trained_model_checkpoint_510.pkl,510,Adults,RT,3.5,0.7061758453727474,9.249146094153523e-16
trained_model_checkpoint_520.pkl,520,Adults,RT,4.0,0.6852998108217594,1.3438689411618223e-14
trained_model_checkpoint_530.pkl,530,Adults,RT,9.0,0.7077249557643709,7.51296590160738e-16
