checkpoint_name,measure,criterion,pearson_r,pearson_p,score_used,pearson_r_kids,pearson_r_adults
trained_model_checkpoint_1550.pkl,ER,Kids_II,0.3937229700484536,7.22681523602248e-05,0.3937229700484536,,
trained_model_checkpoint_460.pkl,RT,Kids_II,0.8153814833838178,4.8644831954602786e-24,0.8153814833838178,,
trained_model_checkpoint_340.pkl,zRT,Kids_II,0.8119008893493997,1.0737534087729321e-23,0.8119008893493997,,
trained_model_checkpoint_840.pkl,ER,Adults,0.2301555715949681,0.0240774569641822,0.2301555715949681,,
trained_model_checkpoint_460.pkl,RT,Adults,0.727942533663204,4.376478170158661e-17,0.727942533663204,,
trained_model_checkpoint_600.pkl,zRT,Adults,0.7522240901341359,1.0091556561071724e-18,0.7522240901341359,,
trained_model_checkpoint_1570.pkl,ER,both,,,0.2976991546923247,0.3676714093613053,0.2277269000233441
trained_model_checkpoint_460.pkl,RT,both,,,0.7716620085235109,0.8153814833838178,0.727942533663204
trained_model_checkpoint_460.pkl,zRT,both,,,0.7792763236224904,0.8097000444899747,0.7488526027550062
