checkpoint_name,n_total_inits,population,measure,pearson_r,pearson_p,spearman_rho,spearman_p
trained_model_checkpoint_0.pkl,21,Kids_II,RT,-0.096644515954799,0.3489078166560933,-0.1055178687168988,0.3062244531124966
trained_model_checkpoint_0.pkl,21,Kids_II,zRT,-0.0964540747439687,0.349862832259344,-0.1166250127923619,0.2578090060001628
trained_model_checkpoint_0.pkl,21,Kids_II,ER,-0.1861986314760338,0.0693108994329107,-0.1678989143835203,0.1020182125429388
trained_model_checkpoint_0.pkl,21,Adults,RT,-0.145514967914817,0.1571814669846791,-0.149946445018751,0.1447904794775462
trained_model_checkpoint_0.pkl,21,Adults,zRT,-0.1131994233004929,0.2721484157458869,-0.1092202500753865,0.2894676932605646
trained_model_checkpoint_0.pkl,21,Adults,ER,0.0717495712402317,0.4872517899894939,0.0849933953692785,0.4103122272033954
trained_model_checkpoint_10.pkl,21,Kids_II,RT,-0.0622239492939839,0.546997487611477,-0.0599673731461461,0.5616558016497268
trained_model_checkpoint_10.pkl,21,Kids_II,zRT,-0.058329174058119,0.5724129765414774,-0.0406230592280345,0.6943405737660728
trained_model_checkpoint_10.pkl,21,Kids_II,ER,0.0483958937820068,0.6396101283724408,0.0027521358986959,0.9787690997076516
trained_model_checkpoint_10.pkl,21,Adults,RT,-0.1068222712506205,0.3002500666099241,-0.1257380404677258,0.2222037088513532
trained_model_checkpoint_10.pkl,21,Adults,zRT,-0.0675514923873367,0.5131477593099909,-0.0844701707757542,0.4132101800749168
trained_model_checkpoint_10.pkl,21,Adults,ER,0.0510705169230544,0.6211969487925075,0.1682434498311114,0.1013067775969724
trained_model_checkpoint_20.pkl,21,Kids_II,RT,0.4628116333243732,2.057538773428228e-06,0.5957364258465498,1.526527671146139e-10
trained_model_checkpoint_20.pkl,21,Kids_II,zRT,0.4438011361774842,5.927319011887154e-06,0.5878062402016312,3.0482116720647994e-10
trained_model_checkpoint_20.pkl,21,Kids_II,ER,0.1714384223908582,0.0948932156586651,0.1679916740499403,0.1018262883333236
trained_model_checkpoint_20.pkl,21,Adults,RT,0.3956964856814986,6.596880527170257e-05,0.5079680772390365,1.271537207752418e-07
trained_model_checkpoint_20.pkl,21,Adults,zRT,0.4153999304990524,2.569912005922952e-05,0.5336392823474749,2.163631510696111e-08
trained_model_checkpoint_20.pkl,21,Adults,ER,0.1712244496182459,0.0953124898358292,0.2638862139343015,0.0093796134861591
trained_model_checkpoint_30.pkl,21,Kids_II,RT,0.7811248350616554,6.1734152085929535e-21,0.8131182457233692,8.155504685056163e-24
trained_model_checkpoint_30.pkl,21,Kids_II,zRT,0.7778530190391899,1.1418859925670562e-20,0.8114726197645584,1.1822869092637005e-23
trained_model_checkpoint_30.pkl,21,Kids_II,ER,0.1384440389592149,0.1785646548014436,0.0948426405289181,0.3580089916754138
trained_model_checkpoint_30.pkl,21,Adults,RT,0.7072837203993917,7.972390712393714e-16,0.7291500090384414,3.663489957010688e-17
trained_model_checkpoint_30.pkl,21,Adults,zRT,0.7133891574213297,3.472299951914177e-16,0.7355948035884285,1.3950397753527526e-17
trained_model_checkpoint_30.pkl,21,Adults,ER,0.1852693413449094,0.0707370589698932,0.2473648924179039,0.0151066937497265
trained_model_checkpoint_40.pkl,21,Kids_II,RT,0.7563859174291943,5.061813713039197e-19,0.7957411776136717,3.4579666341274463e-22
trained_model_checkpoint_40.pkl,21,Kids_II,zRT,0.7589181854997546,3.3039227654145306e-19,0.79240724932388,6.809704048080678e-22
trained_model_checkpoint_40.pkl,21,Kids_II,ER,0.1530146993272262,0.1366527202903524,0.1218744069091893,0.2368513765382212
trained_model_checkpoint_40.pkl,21,Adults,RT,0.6741814783727973,5.1138945375079705e-14,0.7154169259871014,2.6220956057650034e-16
trained_model_checkpoint_40.pkl,21,Adults,zRT,0.6821004566876803,1.9860186532158632e-14,0.7252671686614857,6.468167984241284e-17
trained_model_checkpoint_40.pkl,21,Adults,ER,0.1770917236321519,0.0843332234034121,0.1848156783718175,0.0714418361056447
trained_model_checkpoint_50.pkl,21,Kids_II,RT,0.7320496586582779,2.3808618929707738e-17,0.7716751913949618,3.546610352310926e-20
trained_model_checkpoint_50.pkl,21,Kids_II,zRT,0.7358990416448714,1.3319593075443036e-17,0.7702389476842981,4.592368028705504e-20
trained_model_checkpoint_50.pkl,21,Kids_II,ER,0.1345244520612045,0.1912984319938129,0.0905396259684224,0.3803310043562359
trained_model_checkpoint_50.pkl,21,Adults,RT,0.6455405797150874,1.2425309158473025e-12,0.687314771337037,1.0481230648292683e-14
trained_model_checkpoint_50.pkl,21,Adults,zRT,0.6534107551107402,5.350098799733723e-13,0.6936507364147012,4.7341464112907954e-15
