checkpoint_name,epsilon,n_inits,population,measure,pearson_r,pearson_p,spearman_rho,spearman_p
trained_model_checkpoint_0.pkl,6.0,1,Kids_II,RT,,,,
trained_model_checkpoint_0.pkl,6.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_0.pkl,6.0,1,Kids_II,ER,,,,
trained_model_checkpoint_0.pkl,6.0,1,Adults,RT,,,,
trained_model_checkpoint_0.pkl,6.0,1,Adults,zRT,,,,
trained_model_checkpoint_0.pkl,6.0,1,Adults,ER,,,,
trained_model_checkpoint_0.pkl,6.5,1,Kids_II,RT,,,,
trained_model_checkpoint_0.pkl,6.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_0.pkl,6.5,1,Kids_II,ER,,,,
trained_model_checkpoint_0.pkl,6.5,1,Adults,RT,,,,
trained_model_checkpoint_0.pkl,6.5,1,Adults,zRT,,,,
trained_model_checkpoint_0.pkl,6.5,1,Adults,ER,,,,
trained_model_checkpoint_0.pkl,7.0,1,Kids_II,RT,,,,
trained_model_checkpoint_0.pkl,7.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_0.pkl,7.0,1,Kids_II,ER,,,,
trained_model_checkpoint_0.pkl,7.0,1,Adults,RT,,,,
trained_model_checkpoint_0.pkl,7.0,1,Adults,zRT,,,,
trained_model_checkpoint_0.pkl,7.0,1,Adults,ER,,,,
trained_model_checkpoint_0.pkl,7.5,1,Kids_II,RT,,,,
trained_model_checkpoint_0.pkl,7.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_0.pkl,7.5,1,Kids_II,ER,,,,
trained_model_checkpoint_0.pkl,7.5,1,Adults,RT,,,,
trained_model_checkpoint_0.pkl,7.5,1,Adults,zRT,,,,
trained_model_checkpoint_0.pkl,7.5,1,Adults,ER,,,,
trained_model_checkpoint_0.pkl,8.0,1,Kids_II,RT,,,,
trained_model_checkpoint_0.pkl,8.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_0.pkl,8.0,1,Kids_II,ER,,,,
trained_model_checkpoint_0.pkl,8.0,1,Adults,RT,,,,
trained_model_checkpoint_0.pkl,8.0,1,Adults,zRT,,,,
trained_model_checkpoint_0.pkl,8.0,1,Adults,ER,,,,
trained_model_checkpoint_0.pkl,8.5,1,Kids_II,RT,,,,
trained_model_checkpoint_0.pkl,8.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_0.pkl,8.5,1,Kids_II,ER,,,,
trained_model_checkpoint_0.pkl,8.5,1,Adults,RT,,,,
trained_model_checkpoint_0.pkl,8.5,1,Adults,zRT,,,,
trained_model_checkpoint_0.pkl,8.5,1,Adults,ER,,,,
trained_model_checkpoint_0.pkl,9.0,1,Kids_II,RT,,,,
trained_model_checkpoint_0.pkl,9.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_0.pkl,9.0,1,Kids_II,ER,,,,
trained_model_checkpoint_0.pkl,9.0,1,Adults,RT,,,,
trained_model_checkpoint_0.pkl,9.0,1,Adults,zRT,,,,
trained_model_checkpoint_0.pkl,9.0,1,Adults,ER,,,,
trained_model_checkpoint_0.pkl,9.5,1,Kids_II,RT,,,,
trained_model_checkpoint_0.pkl,9.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_0.pkl,9.5,1,Kids_II,ER,,,,
trained_model_checkpoint_0.pkl,9.5,1,Adults,RT,,,,
trained_model_checkpoint_0.pkl,9.5,1,Adults,zRT,,,,
trained_model_checkpoint_0.pkl,9.5,1,Adults,ER,,,,
trained_model_checkpoint_0.pkl,10.0,1,Kids_II,RT,,,,
trained_model_checkpoint_0.pkl,10.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_0.pkl,10.0,1,Kids_II,ER,,,,
trained_model_checkpoint_0.pkl,10.0,1,Adults,RT,,,,
trained_model_checkpoint_0.pkl,10.0,1,Adults,zRT,,,,
trained_model_checkpoint_0.pkl,10.0,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,0.0,1,Kids_II,RT,-0.1071614776397543,0.2987090553496762,-0.1033642162434617,0.3162570561178577
trained_model_checkpoint_10.pkl,0.0,1,Kids_II,zRT,-0.1009942350634104,0.3275399230346976,-0.0816033286132592,0.4292989665046196
trained_model_checkpoint_10.pkl,0.0,1,Kids_II,ER,0.0527751309432937,0.6095814044449273,0.0166890751942918,0.8717877551129911
trained_model_checkpoint_10.pkl,0.0,1,Adults,RT,-0.1331429843715105,0.19593953583638,-0.1482460469807543,0.1494549205488174
trained_model_checkpoint_10.pkl,0.0,1,Adults,zRT,-0.098300070502316,0.340674386455889,-0.1169647710123382,0.2564154366696981
trained_model_checkpoint_10.pkl,0.0,1,Adults,ER,0.0275028809503423,0.7902450168519622,0.1462103188183981,0.1551865420609941
trained_model_checkpoint_10.pkl,0.5,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,0.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,0.5,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,0.5,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,0.5,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,0.5,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,1.0,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,1.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,1.0,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,1.0,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,1.0,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,1.0,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,1.5,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,1.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,1.5,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,1.5,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,1.5,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,1.5,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,2.0,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,2.0,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,2.0,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,2.0,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,2.0,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,2.0,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,2.5,1,Kids_II,RT,,,,
trained_model_checkpoint_10.pkl,2.5,1,Kids_II,zRT,,,,
trained_model_checkpoint_10.pkl,2.5,1,Kids_II,ER,,,,
trained_model_checkpoint_10.pkl,2.5,1,Adults,RT,,,,
trained_model_checkpoint_10.pkl,2.5,1,Adults,zRT,,,,
trained_model_checkpoint_10.pkl,2.5,1,Adults,ER,,,,
trained_model_checkpoint_10.pkl,3.0,1,Kids_II,RT,0.1130788425161036,0.2726627606607447,0.1092202500753865,0.2894676932605646
trained_model_checkpoint_10.pkl,3.0,1,Kids_II,zRT,0.107471737231347,0.2973041063561324,0.1055178687168988,0.3062244531124966
trained_model_checkpoint_10.pkl,3.0,1,Kids_II,ER,-0.0047258535907622,0.9635514270205052,-0.037530345568081,0.7165811548647373
trained_model_checkpoint_10.pkl,3.0,1,Adults,RT,0.0557688113649282,0.5894156816490959,0.0425773856226083,0.6804174067938005
